edge	from_node	to_node	length_km	f_bar_id	f_bar_type	f_bar_pass	t_bar_id	t_bar_type	t_bar_pass
0	0	1	1.031108228	-1	-1	-1	97	1	0.653
1	1	2	0.658663684	97	1	0.653	-1	-1	-1
2	3	4	1.141690723	-1	-1	-1	-1	-1	-1
3	5	6	0.458588453	-1	-1	-1	548	1	0.8
4	7	8	0.14033547	647	1	0.6	-1	-1	-1
5	9	7	0.192780403	538	1	0.8	647	1	0.6
6	10	11	0.340632315	551	1	0.8	549	1	0.3
7	11	12	0.252066331	549	1	0.3	546	1	0.8
8	12	13	0.181042029	546	1	0.8	544	1	0.4
9	13	14	0.282907702	544	1	0.4	542	1	0.8
10	14	15	0.179761786	542	1	0.8	539	1	0.6
11	15	9	0.058538391	539	1	0.6	538	1	0.8
12	6	10	0.733253878	548	1	0.8	551	1	0.8
13	16	17	1.483240655	-1	-1	-1	-1	-1	-1
14	18	19	2.466112034	-1	-1	-1	-1	-1	-1
15	20	21	3.417988184	-1	-1	-1	471	1	0.746
16	21	22	0.127963006	471	1	0.746	-1	-1	-1
17	23	24	0.225872956	-1	-1	-1	1579	1	0.913
18	24	25	1.162671316	1579	1	0.913	1266	1	1
19	25	26	0.226170804	1266	1	1	-1	-1	-1
20	27	28	0.427121474	-1	-1	-1	-1	-1	-1
21	29	30	0.391594412	-1	-1	-1	-1	-1	-1
22	31	32	0.143137104	-1	-1	-1	1329	1	0.938
23	32	33	0.063569328	1329	1	0.938	-1	-1	-1
24	34	35	1.323116881	-1	-1	-1	214	1	0.638
25	35	36	0.406978526	214	1	0.638	-1	-1	-1
26	37	38	0.404435963	-1	-1	-1	1294	1	0.611
27	38	39	1.74639094	1294	1	0.611	-1	-1	-1
28	40	41	0.691665198	-1	-1	-1	971	1	-1
29	41	42	0.020688885	971	1	-1	-1	-1	-1
30	43	44	0.887604403	-1	-1	-1	-1	-1	-1
31	45	46	0.227262396	-1	-1	-1	-1	-1	-1
32	47	48	1.828856849	-1	-1	-1	-1	-1	-1
33	49	50	0.357354911	-1	-1	-1	95	1	0.65
34	50	51	0.622489652	95	1	0.65	-1	-1	-1
35	52	53	0.54273526	-1	-1	-1	604	1	0.7
36	53	54	0.481491655	604	1	0.7	-1	-1	-1
37	55	56	1.197013394	-1	-1	-1	1062	1	0.8
38	56	57	0.524576441	1062	1	0.8	-1	-1	-1
39	58	59	0.31035521	-1	-1	-1	357	1	0.639
40	59	60	0.075404371	357	1	0.639	-1	-1	-1
41	61	62	1.375776434	-1	-1	-1	-1	-1	-1
42	63	64	1.106481656	-1	-1	-1	-1	-1	-1
43	65	66	0.839194711	-1	-1	-1	282	1	0.803
44	67	68	0.19712904	290	1	0.899	-1	-1	-1
45	69	67	0.518219025	289	1	0.808	290	1	0.899
46	70	69	0.04866683	288	1	0.809	289	1	0.808
47	71	70	0.125876932	286	1	0.833	288	1	0.809
48	66	71	0.125821106	282	1	0.803	286	1	0.833
49	72	73	0.06016717	-1	-1	-1	-1	-1	-1
50	74	75	0.299703639	-1	-1	-1	657	1	0.6
51	76	77	0.257988798	660	1	0.6	-1	-1	-1
52	75	76	0.126666436	657	1	0.6	660	1	0.6
53	78	79	0.780314755	-1	-1	-1	-1	-1	-1
54	80	81	0.128172837	-1	-1	-1	-1	-1	-1
55	82	83	0.85682448	-1	-1	-1	-1	-1	-1
56	84	85	1.218429258	-1	-1	-1	-1	-1	-1
57	86	87	0.1592669	-1	-1	-1	536	1	0.4
58	88	89	0.136490938	1277	1	0.647	-1	-1	-1
59	87	88	0.020728332	536	1	0.4	1277	1	0.647
60	90	91	1.118988786	-1	-1	-1	909	1	0.4
61	91	92	1.755730568	909	1	0.4	-1	-1	-1
62	93	94	1.109032854	-1	-1	-1	-1	-1	-1
63	95	96	0.774383321	-1	-1	-1	-1	-1	-1
64	97	98	1.130146439	-1	-1	-1	487	1	0.719
65	98	99	0.413866659	487	1	0.719	-1	-1	-1
66	100	101	0.278336471	-1	-1	-1	-1	-1	-1
67	102	103	0.421313197	-1	-1	-1	364	1	0.556
68	103	104	0.061920774	364	1	0.556	-1	-1	-1
69	105	106	0.085715454	-1	-1	-1	-1	-1	-1
70	107	79	0.721751966	-1	-1	-1	-1	-1	-1
71	108	109	0.682586748	-1	-1	-1	1197	1	1
72	109	110	0.455195863	1197	1	1	-1	-1	-1
73	111	112	0.353471381	-1	-1	-1	267	1	0.958
74	112	113	0.752854836	267	1	0.958	-1	-1	-1
75	114	115	0.615842896	-1	-1	-1	-1	-1	-1
76	116	117	0.97697207	-1	-1	-1	-1	-1	-1
77	118	119	0.291992038	-1	-1	-1	-1	-1	-1
78	120	121	0.394293844	-1	-1	-1	1095	1	0.9
79	122	115	0.065412109	1478	1	0.869	-1	-1	-1
80	121	122	1.586373409	1095	1	0.9	1478	1	0.869
81	123	124	0.590828476	-1	-1	-1	1320	1	0.643
82	125	126	0.638714436	637	1	0.9	-1	-1	-1
83	127	125	0.136418523	635	1	0.5	637	1	0.9
84	124	128	0.06248314	1320	1	0.643	632	1	0.5
85	129	127	0.577902282	634	1	0.4	635	1	0.5
86	128	129	0.126800209	632	1	0.5	634	1	0.4
87	130	131	0.717218278	-1	-1	-1	-1	-1	-1
88	132	133	1.297727879	-1	-1	-1	74	1	0.729
89	133	134	0.578741787	74	1	0.729	-1	-1	-1
90	135	136	0.257822935	-1	-1	-1	-1	-1	-1
91	137	138	0.513799128	-1	-1	-1	1137	1	0.5
92	138	139	0.868029882	1137	1	0.5	-1	-1	-1
93	140	141	0.351031479	-1	-1	-1	-1	-1	-1
94	142	143	0.59265961	-1	-1	-1	675	1	0.2
95	143	144	0.368518241	675	1	0.2	-1	-1	-1
96	145	146	1.352843941	-1	-1	-1	-1	-1	-1
97	147	148	0.857840897	-1	-1	-1	-1	-1	-1
98	26	149	0.446372408	-1	-1	-1	-1	-1	-1
99	150	151	0.295899593	-1	-1	-1	-1	-1	-1
100	152	153	0.127575125	-1	-1	-1	1397	1	0.575
101	153	154	0.15487612	1397	1	0.575	1396	1	0.632
102	154	155	1.47618683	1396	1	0.632	-1	-1	-1
103	156	157	0.453651927	-1	-1	-1	1148	1	0.5
104	157	158	0.668762588	1148	1	0.5	-1	-1	-1
105	159	160	0.203595532	-1	-1	-1	1018	1	0.8
106	161	162	0.940129585	1460	1	0.685	-1	-1	-1
107	160	161	0.848076899	1018	1	0.8	1460	1	0.685
108	163	164	0.619218004	-1	-1	-1	-1	-1	-1
109	165	166	1.044986063	-1	-1	-1	-1	-1	-1
110	167	168	0.387134511	-1	-1	-1	1324	1	0.575
111	168	169	0.543255085	1324	1	0.575	1323	1	0.614
112	169	170	1.002474519	1323	1	0.614	-1	-1	-1
113	171	172	0.911173461	-1	-1	-1	-1	-1	-1
114	173	174	0.202921235	-1	-1	-1	1221	1	0.5
115	174	175	0.280796964	1221	1	0.5	-1	-1	-1
116	176	177	0.253477963	-1	-1	-1	1199	1	1
117	178	179	0.026103198	1201	1	1	-1	-1	-1
118	177	178	0.836770645	1199	1	1	1201	1	1
119	149	180	0.341186621	-1	-1	-1	-1	-1	-1
120	181	182	0.80373042	-1	-1	-1	1165	1	0.9
121	182	183	1.108596363	1165	1	0.9	-1	-1	-1
122	184	86	1.044679602	-1	-1	-1	-1	-1	-1
123	106	185	1.11920872	-1	-1	-1	195	1	0.847
124	185	111	0.025541972	195	1	0.847	-1	-1	-1
125	186	187	0.753706656	-1	-1	-1	234	1	0.65
126	188	189	0.23857143	237	1	0.658	-1	-1	-1
127	187	188	0.742655612	234	1	0.65	237	1	0.658
128	190	191	0.566485028	-1	-1	-1	100	1	0.571
129	191	192	0.158714786	100	1	0.571	-1	-1	-1
130	193	194	0.032652401	-1	-1	-1	358	1	0.625
131	194	60	0.105069182	358	1	0.625	-1	-1	-1
132	195	196	0.715289864	-1	-1	-1	1490	1	0.644
133	196	197	0.01671082	1490	1	0.644	1489	1	0.658
134	197	198	0.077767779	1489	1	0.658	-1	-1	-1
135	199	200	0.301282552	-1	-1	-1	509	1	1
136	200	201	0.747911123	509	1	1	-1	-1	-1
137	202	203	1.684358221	-1	-1	-1	1082	1	0.4
138	203	204	0.023872967	1082	1	0.4	-1	-1	-1
139	205	206	0.377782831	-1	-1	-1	1459	1	0.624
140	206	64	1.04033337	1459	1	0.624	-1	-1	-1
141	207	208	0.678059978	-1	-1	-1	-1	-1	-1
142	209	210	0.314680266	-1	-1	-1	-1	-1	-1
143	211	212	1.87131508	-1	-1	-1	-1	-1	-1
144	213	45	0.600239065	-1	-1	-1	-1	-1	-1
145	214	215	0.301997973	-1	-1	-1	480	1	0.931
146	215	216	0.414162781	480	1	0.931	-1	-1	-1
147	217	218	0.76285703	-1	-1	-1	-1	-1	-1
148	219	220	0.030038894	-1	-1	-1	-1	-1	-1
149	221	222	0.110156201	-1	-1	-1	1077	1	0.4
150	222	204	1.878326188	1077	1	0.4	-1	-1	-1
151	223	224	0.683192369	-1	-1	-1	-1	-1	-1
152	225	226	0.625317051	-1	-1	-1	-1	-1	-1
153	227	199	0.819308515	-1	-1	-1	-1	-1	-1
154	228	229	0.514936302	-1	-1	-1	1220	1	0.6
155	230	231	0.49615869	1559	1	0.556	1222	1	0.8
156	231	232	0.207293308	1222	1	0.8	-1	-1	-1
157	229	230	0.021115405	1220	1	0.6	1559	1	0.556
158	233	234	1.658725674	-1	-1	-1	-1	-1	-1
159	235	236	0.683207373	-1	-1	-1	-1	-1	-1
160	237	238	1.007294939	-1	-1	-1	-1	-1	-1
161	239	240	1.522277945	-1	-1	-1	-1	-1	-1
162	241	242	1.659401434	-1	-1	-1	1041	1	0.6
163	242	243	0.249391213	1041	1	0.6	-1	-1	-1
164	244	107	0.852857793	-1	-1	-1	-1	-1	-1
165	245	246	0.994334934	-1	-1	-1	-1	-1	-1
166	247	248	1.087625179	-1	-1	-1	1111	1	1
167	248	249	0.424549425	1111	1	1	-1	-1	-1
168	250	251	1.031490297	-1	-1	-1	1189	1	-1
169	252	253	0.055377546	1521	1	0.647	-1	-1	-1
170	251	252	1.07920486	1189	1	-1	1521	1	0.647
171	254	255	0.411277623	-1	-1	-1	-1	-1	-1
172	256	257	0.297669263	-1	-1	-1	44	1	0.774
173	257	258	0.895447296	44	1	0.774	-1	-1	-1
174	259	260	0.939002489	-1	-1	-1	-1	-1	-1
175	261	262	1.248963979	-1	-1	-1	-1	-1	-1
176	263	264	0.033029104	-1	-1	-1	369	1	0.65
177	264	265	2.379876761	369	1	0.65	1629	2	0.3
178	265	266	0.145859908	1629	2	0.3	178	1	0.721
179	266	267	0.834541701	178	1	0.721	-1	-1	-1
180	268	96	0.999182255	-1	-1	-1	-1	-1	-1
181	269	270	0.36110815	-1	-1	-1	205	1	0.564
182	270	94	0.063625354	205	1	0.564	-1	-1	-1
183	271	272	0.226920422	-1	-1	-1	1360	1	0.664
184	272	273	0.159343707	1360	1	0.664	-1	-1	-1
185	274	275	1.621999671	-1	-1	-1	-1	-1	-1
186	276	277	0.148587098	-1	-1	-1	-1	-1	-1
187	278	279	1.473958184	-1	-1	-1	662	1	1
188	279	280	0.112288956	662	1	1	-1	-1	-1
189	281	282	1.099738501	-1	-1	-1	-1	-1	-1
190	283	284	0.015071972	-1	-1	-1	52	1	0.871
191	284	285	0.341752192	52	1	0.871	-1	-1	-1
192	286	287	1.371658742	-1	-1	-1	1051	1	-1
193	287	288	0.879166107	1051	1	-1	-1	-1	-1
194	289	290	0.460401485	-1	-1	-1	-1	-1	-1
195	291	292	0.164020467	-1	-1	-1	1438	1	0.684
196	292	293	0.927605657	1438	1	0.684	973	1	0.7
197	293	294	0.442574245	973	1	0.7	972	1	0.7
198	294	295	1.02141209	972	1	0.7	-1	-1	-1
199	296	297	2.106198153	-1	-1	-1	-1	-1	-1
200	298	299	0.948239497	-1	-1	-1	21	1	0.64
201	299	300	0.632603313	21	1	0.64	-1	-1	-1
202	301	302	0.302573844	-1	-1	-1	652	1	0.5
203	303	304	0.03374994	666	1	0.4	-1	-1	-1
204	302	303	0.957998411	652	1	0.5	666	1	0.4
205	19	305	1.333099146	-1	-1	-1	-1	-1	-1
206	306	307	1.079569956	-1	-1	-1	704	1	1
207	308	309	1.489304593	1587	2	0.5	-1	-1	-1
208	307	308	0.237311568	704	1	1	1587	2	0.5
209	310	311	1.163395394	-1	-1	-1	93	1	0.673
210	311	51	0.964741693	93	1	0.673	-1	-1	-1
211	312	313	0.538843632	-1	-1	-1	-1	-1	-1
212	314	315	0.654492382	-1	-1	-1	-1	-1	-1
213	316	317	1.227150769	-1	-1	-1	270	1	0
214	317	318	0.156604799	270	1	0	-1	-1	-1
215	319	320	1.005882096	-1	-1	-1	-1	-1	-1
216	321	322	0.815737946	-1	-1	-1	-1	-1	-1
217	323	324	0.231357254	-1	-1	-1	-1	-1	-1
218	325	326	0.790755832	-1	-1	-1	-1	-1	-1
219	327	328	1.049189928	-1	-1	-1	1546	1	0
220	328	329	0.038126342	1546	1	0	-1	-1	-1
221	330	331	0.768797652	-1	-1	-1	1088	1	0.3
222	332	333	0.310774082	1104	1	0.5	-1	-1	-1
223	334	332	0.142370133	1102	1	0.5	1104	1	0.5
224	335	334	0.092859384	1101	1	0.4	1102	1	0.5
225	331	335	1.641437022	1088	1	0.3	1101	1	0.4
226	336	337	0.567169188	-1	-1	-1	-1	-1	-1
227	338	339	0.96833986	-1	-1	-1	-1	-1	-1
228	340	341	0.021126113	-1	-1	-1	-1	-1	-1
229	342	343	0.719100119	-1	-1	-1	1543	1	0.597
230	343	344	0.149309436	1543	1	0.597	-1	-1	-1
231	345	346	0.636865457	-1	-1	-1	-1	-1	-1
232	347	348	0.571401728	-1	-1	-1	900	1	1
233	348	349	0.447774699	900	1	1	772	1	1
234	350	351	0.23059361	775	1	1	780	1	1
235	349	350	0.395280147	772	1	1	775	1	1
236	352	353	0.029022434	781	1	1	-1	-1	-1
237	351	352	0.230763227	780	1	1	781	1	1
238	354	295	1.744534038	-1	-1	-1	-1	-1	-1
239	355	356	0.214783733	-1	-1	-1	34	1	0.618
240	356	357	0.032049414	34	1	0.618	-1	-1	-1
241	358	359	0.1337638	-1	-1	-1	-1	-1	-1
242	83	360	0.526403406	-1	-1	-1	1517	1	0
243	360	361	0.175083656	1517	1	0	-1	-1	-1
244	362	363	0.231541002	-1	-1	-1	140	1	0.61
245	363	364	0.200107948	140	1	0.61	-1	-1	-1
246	365	366	1.54463302	-1	-1	-1	1452	1	0.7
247	366	367	0.254927365	1452	1	0.7	-1	-1	-1
248	368	369	0.447870546	-1	-1	-1	850	1	0.8
249	369	73	0.101896519	850	1	0.8	-1	-1	-1
250	370	371	0.683953858	-1	-1	-1	-1	-1	-1
