FID_,node_fid,Lon,Lat,Lon_m,Lat_m
,0,-72.965684452199994,42.991528061200000,1849842.569799999900000,2447044.088200000100000
,1,-72.954030587299997,42.988810847499998,1850832.947930000000000,2446976.325060000200000
,2,-72.947821645499999,42.985494927799998,1851410.750500000100000,2446737.677999999800000
,3,-72.830866737600005,42.947383591300003,1861645.263199999900000,2444890.073599999800000
,4,-72.840718408100003,42.940662389400003,1861050.599900000000000,2443968.417799999900000
,5,-72.678508266600005,42.606823466599998,1882887.225600000000000,2410967.634300000000000
,6,-72.676869335299997,42.603203268900003,1883115.194880000100000,2410607.583029999900000
,7,-72.688170737199997,42.589847801399998,1882583.630910000100000,2408935.551640000200000
,8,-72.688324868199999,42.588646862799997,1882604.034000000000000,2408802.278299999900000
,9,-72.686408509000003,42.590817143300001,1882696.761250000000000,2409075.569120000100000
,10,-72.677211033899994,42.597303081600003,1883248.395340000000000,2409961.072240000100000
,11,-72.678677674499994,42.594780364400002,1883200.861670000000000,2409658.475620000200000
,12,-72.680884539299996,42.593680877899999,1883056.102900000100000,2409495.529629999800000
,13,-72.682611191000007,42.592895340600002,1882940.810820000000000,2409376.142219999800000
,14,-72.684198337900000,42.590790732000002,1882872.365939999900000,2409116.492920000100000
,15,-72.685945889500005,42.590575220500000,1882739.935390000000000,2409058.502200000000000
,16,-72.984837580800004,42.824280162900003,1852815.892500000100000,2428530.730099999800000
,17,-72.973644176400001,42.814710362200003,1853955.879900000100000,2427710.910300000100000
,18,-72.979802453500000,42.939042717299998,1850137.531299999900000,2441077.061000000200000
,19,-72.970222781700002,42.919862781399999,1851406.537999999900000,2439183.376699999900000
,20,-73.073579210199995,42.841752896499997,1845344.785500000000000,2428699.693200000100000
,21,-73.037750698300002,42.844643997399999,1848095.024700000000000,2429709.599950000200000
,22,-73.036359199000003,42.844866098300002,1848198.891499999900000,2429760.756899999900000
,23,-72.802110505399995,42.568181455199998,1874151.525700000100000,2404333.780199999900000
,24,-72.802280665900000,42.570149299400001,1874084.889830000000000,2404543.871400000100000
,25,-72.800007904300003,42.579976896200002,1873999.315340000000000,2405654.651870000200000
,26,-72.798832172499999,42.581790324000004,1874043.394300000000000,2405874.529999999800000
,27,-72.747400169299993,42.811114701800001,1871905.987999999900000,2431756.026200000200000
,28,-72.745019102000001,42.813845769399997,1872019.895500000100000,2432099.013700000000000
,29,-72.748416699900005,42.770266095099998,1872931.511400000000000,2427307.285900000000000
,30,-72.752412768499994,42.772020294999997,1872568.595100000000000,2427418.731300000100000
,31,-72.765288696400006,42.617627132499997,1875729.031800000000000,2410423.055000000200000
,32,-72.765264276799996,42.618800235700000,1875699.224100000000000,2410550.759380000200000
,33,-72.765249896499995,42.619342665900000,1875685.685700000000000,2410609.869400000200000
,34,-72.734483564800001,42.802687901100001,1873153.194100000000000,2431096.958500000200000
,35,-72.721385601899996,42.808023915699998,1874041.966770000100000,2431933.662910000000000
,36,-72.718555959400007,42.806455302200000,1874307.704200000000000,2431819.418200000200000
